,date,on,1w,2w,1m,3m,6m,9m,1y
763,20181227,1.793,2.695,3.322,3.47,3.339,3.294,3.48,3.52
762,20181228,1.47,2.721,3.368,3.492,3.357,3.297,3.48,3.521
761,20190102,2.3,2.634,2.802,3.2,3.285,3.292,3.472,3.511
760,20190103,1.968,2.547,2.673,3.084,3.246,3.286,3.466,3.507
759,20190104,1.649,2.563,2.615,3.01,3.215,3.27,3.453,3.497
758,20190107,1.447,2.475,2.541,2.909,3.141,3.233,3.415,3.466
757,20190108,1.414,2.372,2.487,2.825,3.093,3.206,3.384,3.431
756,20190109,1.567,2.475,2.477,2.79,3.065,3.184,3.354,3.401
755,20190110,1.743,2.587,2.502,2.781,3.031,3.149,3.321,3.377
754,20190111,1.708,2.555,2.515,2.772,3.007,3.12,3.296,3.35
753,20190114,1.878,2.629,2.541,2.775,2.984,3.106,3.284,3.337
752,20190115,2.245,2.652,2.57,2.777,2.962,3.094,3.271,3.324
751,20190116,2.306,2.64,2.576,2.777,2.942,3.079,3.262,3.314
750,20190117,2.259,2.611,2.569,2.777,2.93,3.066,3.257,3.304
749,20190118,2.1785,2.618,2.558,2.777,2.918,3.061,3.248,3.302
748,20190121,2.24,2.594,2.637,2.786,2.915,3.055,3.241,3.3
747,20190122,2.243,2.578,2.695,2.797,2.914,3.054,3.245,3.3
746,20190123,2.244,2.584,2.709,2.806,2.909,3.052,3.246,3.3
745,20190124,2.263,2.616,2.716,2.811,2.904,3.044,3.245,3.3
744,20190125,2.362,2.626,2.748,2.819,2.902,3.037,3.239,3.294
743,20190128,2.194,2.66,2.882,2.828,2.901,3.031,3.228,3.291
742,20190129,2.078,2.766,2.982,2.835,2.9,3.027,3.211,3.282
741,20190130,2.0021,2.765,2.997,2.84,2.901,3.026,3.199,3.271
740,20190131,2.238,2.756,2.979,2.839,2.9,3.021,3.182,3.252
739,20190201,2.1,2.722,2.843,2.835,2.9,3.017,3.168,3.241
738,20190211,2.265,2.596,2.522,2.785,2.898,2.995,3.118,3.198
737,20190212,2.017,2.513,2.497,2.76,2.872,2.961,3.079,3.172
736,20190213,1.722,2.362,2.442,2.732,2.852,2.938,3.044,3.146
735,20190214,1.721,2.33,2.397,2.714,2.83,2.908,3.015,3.119
734,20190215,1.713,2.351,2.393,2.698,2.802,2.898,2.996,3.095
733,20190218,1.8224,2.395,2.398,2.687,2.797,2.885,2.989,3.081
732,20190219,1.967,2.398,2.404,2.676,2.778,2.876,2.979,3.073
731,20190220,1.854,2.377,2.398,2.655,2.759,2.864,2.966,3.069
730,20190221,2.03,2.399,2.409,2.651,2.749,2.858,2.958,3.063
729,20190222,2.431,2.6,2.518,2.656,2.749,2.854,2.955,3.063
728,20190225,2.605,2.658,2.628,2.659,2.752,2.85,2.953,3.059
727,20190226,2.705,2.745,2.862,2.681,2.756,2.851,2.953,3.059
726,20190227,2.654,2.75,2.887,2.686,2.756,2.852,2.954,3.061
725,20190228,2.584,2.658,2.73,2.694,2.751,2.85,2.951,3.06
724,20190301,2.155,2.511,2.565,2.7,2.75,2.85,2.95,3.059
723,20190304,1.933,2.38,2.424,2.696,2.75,2.85,2.95,3.058
722,20190305,2.266,2.574,2.49,2.699,2.75,2.85,2.95,3.055
721,20190306,2.074,2.488,2.488,2.703,2.75,2.85,2.95,3.053
720,20190307,2.06,2.517,2.487,2.705,2.751,2.85,2.95,3.054
719,20190308,2.047,2.388,2.448,2.712,2.755,2.85,2.95,3.057
718,20190311,2.092,2.395,2.4328,2.7172,2.7565,2.85,2.95,3.06
717,20190312,2.365,2.601,2.458,2.732,2.761,2.851,2.95,3.066
716,20190313,2.079,2.493,2.461,2.754,2.768,2.851,2.95,3.066
715,20190314,2.31,2.598,2.48,2.774,2.777,2.854,2.953,3.072
714,20190315,2.655,2.728,2.617,2.81,2.799,2.858,2.956,3.077
713,20190318,2.756,2.709,2.861,2.832,2.814,2.86,2.958,3.082
712,20190319,2.666,2.729,2.991,2.852,2.823,2.865,2.96,3.086
711,20190320,2.714,2.711,2.946,2.875,2.833,2.865,2.962,3.088
710,20190321,2.661,2.684,2.936,2.884,2.838,2.864,2.963,3.091
709,20190322,2.62,2.664,2.97,2.884,2.837,2.862,2.962,3.092
708,20190325,2.535,2.668,2.896,2.879,2.836,2.861,2.957,3.086
707,20190326,2.495,2.704,2.901,2.862,2.828,2.859,2.95,3.08
706,20190327,2.286,2.797,2.932,2.843,2.819,2.857,2.94,3.074
705,20190328,2.041,2.705,2.923,2.825,2.807,2.848,2.931,3.062
704,20190329,2.486,2.698,2.911,2.819,2.801,2.841,2.924,3.051
703,20190401,2.315,2.579,2.713,2.782,2.795,2.835,2.917,3.047
702,20190402,1.956,2.453,2.527,2.745,2.786,2.825,2.913,3.042
701,20190403,1.663,2.357,2.403,2.697,2.767,2.818,2.909,3.044
700,20190404,1.417,2.418,2.376,2.664,2.758,2.815,2.906,3.047
699,20190408,1.428,2.483,2.378,2.65,2.754,2.816,2.906,3.047
698,20190409,1.797,2.469,2.45,2.646,2.751,2.824,2.908,3.047
697,20190410,2.278,2.654,2.566,2.655,2.755,2.833,2.914,3.053
696,20190411,2.735,2.657,2.779,2.669,2.76,2.838,2.923,3.06
695,20190412,2.652,2.669,2.805,2.686,2.761,2.842,2.924,3.067
694,20190415,2.797,2.772,2.902,2.717,2.768,2.85,2.939,3.072
693,20190416,2.883,2.787,2.982,2.759,2.774,2.853,2.947,3.077
692,20190417,2.998,2.788,2.992,2.779,2.787,2.861,2.96,3.091
691,20190418,2.812,2.75,3.008,2.795,2.806,2.864,2.964,3.096
690,20190419,2.661,2.692,2.882,2.79,2.817,2.869,2.969,3.095
689,20190422,2.557,2.654,2.896,2.791,2.822,2.872,2.974,3.101
688,20190423,2.828,2.7,2.915,2.824,2.833,2.885,2.982,3.106
687,20190424,2.752,2.764,2.967,2.838,2.855,2.903,2.991,3.108
686,20190425,2.785,2.785,3.027,2.851,2.88,2.917,3.005,3.119
685,20190426,2.496,2.735,3.012,2.859,2.896,2.932,3.016,3.129
684,20190429,1.7,2.691,2.895,2.857,2.923,2.955,3.04,3.147
683,20190430,2.086,2.683,2.86,2.856,2.93,2.963,3.044,3.159
682,20190506,1.642,2.5285,2.537,2.811,2.934,2.956,3.051,3.156
681,20190507,1.391,2.349,2.402,2.773,2.922,2.951,3.05,3.154
680,20190508,1.141,2.286,2.372,2.741,2.91,2.947,3.05,3.151
679,20190509,1.513,2.573,2.387,2.728,2.903,2.946,3.05,3.151
678,20190510,1.826,2.568,2.408,2.72,2.895,2.948,3.05,3.151
677,20190513,2.156,2.579,2.405,2.715,2.889,2.948,3.05,3.152
676,20190514,2.4123,2.65,2.449,2.717,2.891,2.948,3.05,3.153
675,20190515,2.5334,2.641,2.462,2.713,2.893,2.948,3.052,3.153
674,20190516,2.281,2.607,2.44,2.708,2.896,2.947,3.051,3.157
673,20190517,2.134,2.589,2.494,2.705,2.9,2.95,3.05,3.162
672,20190520,2.5845,2.678,2.689,2.717,2.9,2.95,3.051,3.167
671,20190521,2.75,2.699,2.784,2.756,2.9,2.95,3.056,3.177
670,20190522,2.623,2.69,2.809,2.77,2.903,2.95,3.06,3.185
669,20190523,2.584,2.648,2.757,2.784,2.901,2.951,3.063,3.19
668,20190524,2.342,2.592,2.757,2.779,2.902,2.953,3.076,3.198
667,20190527,2.666,2.711,2.803,2.792,2.904,2.956,3.093,3.202
666,20190528,2.76,2.823,2.955,2.816,2.915,2.965,3.105,3.205
665,20190529,2.491,2.785,2.981,2.818,2.917,2.966,3.108,3.206
664,20190530,2.067,2.665,2.9,2.813,2.916,2.964,3.11,3.205
663,20190531,2.194,2.65,2.801,2.816,2.912,2.963,3.11,3.206
662,20190603,2.003,2.553,2.571,2.809,2.904,2.957,3.107,3.208
661,20190604,1.738,2.399,2.414,2.821,2.902,2.953,3.108,3.208
660,20190605,1.593,2.472,2.383,2.832,2.916,2.952,3.11,3.209
659,20190606,1.521,2.572,2.378,2.841,2.924,2.953,3.111,3.212
658,20190610,1.848,2.604,2.404,2.853,2.932,2.958,3.116,3.215
657,20190611,2.053,2.589,2.428,2.859,2.94,2.973,3.115,3.213
656,20190612,1.939,2.564,2.439,2.865,2.943,2.976,3.116,3.217
655,20190613,1.924,2.583,2.44,2.878,2.944,2.982,3.119,3.22
654,20190614,1.723,2.565,2.454,2.898,2.947,2.986,3.12,3.225
653,20190617,1.801,2.491,2.669,2.898,2.947,2.991,3.121,3.228
652,20190618,1.601,2.399,2.722,2.897,2.943,2.98,3.122,3.231
651,20190619,1.447,2.386,2.787,2.891,2.929,2.967,3.122,3.218
650,20190620,1.253,2.448,2.859,2.876,2.911,2.958,3.115,3.207
649,20190621,1.112,2.416,2.807,2.852,2.895,2.938,3.112,3.19
648,20190624,1.0,2.326,2.762,2.805,2.859,2.906,3.093,3.17
647,20190625,1.023,2.466,2.711,2.76,2.809,2.878,3.075,3.138
646,20190626,0.991,2.417,2.626,2.731,2.758,2.847,3.059,3.112
645,20190627,0.9615,2.61,2.571,2.703,2.722,2.824,3.05,3.105
644,20190628,1.3705,2.604,2.591,2.684,2.708,2.803,3.047,3.103
643,20190701,1.065,2.319,2.364,2.603,2.681,2.779,3.042,3.099
642,20190702,0.914,2.032,2.198,2.534,2.657,2.76,3.039,3.096
641,20190703,0.877,2.145,2.095,2.492,2.641,2.751,3.036,3.096
640,20190704,0.844,2.139,2.059,2.465,2.627,2.733,3.032,3.094
639,20190705,1.055,2.271,2.066,2.463,2.606,2.712,3.024,3.084
638,20190708,1.445,2.449,2.108,2.467,2.603,2.707,3.022,3.086
637,20190709,1.773,2.54,2.374,2.484,2.601,2.702,3.019,3.087
636,20190710,1.814,2.543,2.348,2.486,2.6,2.7,3.017,3.089
635,20190711,1.998,2.497,2.32,2.483,2.6,2.7,3.015,3.088
634,20190712,2.235,2.559,2.378,2.487,2.6,2.7,3.015,3.091
633,20190715,2.6175,2.669,2.638,2.498,2.6,2.7,3.018,3.093
632,20190716,2.725,2.724,2.88,2.532,2.609,2.702,3.018,3.096
631,20190717,2.711,2.734,2.894,2.557,2.613,2.704,3.018,3.099
630,20190718,2.772,2.748,2.951,2.577,2.623,2.704,3.018,3.101
629,20190719,2.827,2.753,2.989,2.591,2.631,2.705,3.018,3.101
628,20190722,2.6698,2.692,2.885,2.592,2.628,2.704,3.018,3.1
627,20190723,2.562,2.634,2.765,2.591,2.628,2.703,3.017,3.097
626,20190724,2.481,2.561,2.631,2.59,2.625,2.703,3.016,3.096
625,20190725,2.628,2.642,2.663,2.594,2.625,2.704,3.015,3.096
624,20190726,2.636,2.647,2.688,2.597,2.629,2.704,3.016,3.096
623,20190729,2.629,2.657,2.69,2.6,2.631,2.706,3.016,3.098
622,20190730,2.621,2.663,2.71,2.602,2.636,2.708,3.017,3.098
621,20190731,2.642,2.673,2.704,2.606,2.644,2.708,3.017,3.098
620,20190801,2.634,2.638,2.59,2.6,2.646,2.708,3.016,3.096
619,20190802,2.634,2.647,2.599,2.6,2.649,2.707,3.018,3.096
618,20190805,2.544,2.619,2.517,2.594,2.646,2.706,3.015,3.094
617,20190806,2.261,2.494,2.486,2.584,2.635,2.703,3.01,3.087
616,20190807,2.22,2.52,2.433,2.564,2.623,2.701,3.005,3.083
615,20190808,2.5,2.578,2.438,2.562,2.618,2.701,3.004,3.0805
614,20190809,2.596,2.644,2.512,2.571,2.618,2.706,3.002,3.0785
613,20190812,2.629,2.656,2.637,2.588,2.625,2.71,3.001,3.0755
612,20190813,2.667,2.703,2.772,2.613,2.644,2.713,3.001,3.0785
611,20190814,2.689,2.695,2.803,2.636,2.656,2.72,3.001,3.083
610,20190815,2.659,2.678,2.772,2.649,2.661,2.726,2.997,3.0825
609,20190816,2.665,2.673,2.776,2.653,2.666,2.728,2.996,3.0775
608,20190819,2.666,2.672,2.773,2.656,2.669,2.729,2.998,3.074
607,20190820,2.642,2.664,2.791,2.656,2.671,2.73,2.999,3.068
606,20190821,2.5832,2.653,2.754,2.655,2.674,2.734,2.996,3.064
605,20190822,2.544,2.642,2.754,2.656,2.682,2.741,2.996,3.059
604,20190823,2.586,2.651,2.745,2.663,2.69,2.748,2.996,3.056
603,20190826,2.639,2.669,2.739,2.66,2.694,2.751,2.995,3.055
602,20190827,2.677,2.687,2.741,2.662,2.7,2.753,2.993,3.055
601,20190828,2.609,2.682,2.754,2.661,2.702,2.753,2.991,3.055
600,20190829,2.478,2.6702,2.735,2.6611,2.7002,2.7513,2.9921,3.0545
599,20190830,2.572,2.665,2.701,2.661,2.701,2.7525,2.99,3.051
598,20190902,2.55,2.653,2.662,2.661,2.7,2.754,2.991,3.05
597,20190903,2.513,2.61,2.621,2.664,2.701,2.757,2.991,3.052
596,20190904,2.445,2.604,2.595,2.662,2.702,2.758,2.991,3.051
595,20190905,2.536,2.636,2.603,2.665,2.704,2.761,2.991,3.052
594,20190906,2.597,2.652,2.652,2.681,2.708,2.768,2.991,3.052
593,20190909,2.607,2.652,2.661,2.688,2.707,2.768,2.989,3.051
592,20190910,2.553,2.628,2.64,2.677,2.707,2.772,2.98,3.046
591,20190911,2.451,2.645,2.683,2.679,2.707,2.778,2.979,3.043
590,20190912,2.369,2.65,2.663,2.682,2.709,2.787,2.976,3.042
589,20190916,2.336,2.642,2.663,2.682,2.71,2.792,2.972,3.043
588,20190917,2.565,2.638,2.659,2.685,2.708,2.795,2.97,3.043
587,20190918,2.633,2.654,2.668,2.692,2.706,2.798,2.97,3.044
586,20190919,2.737,2.709,2.738,2.704,2.709,2.8,2.97,3.045
585,20190920,2.746,2.731,2.808,2.719,2.717,2.808,2.971,3.046
584,20190923,2.759,2.732,2.884,2.737,2.725,2.813,2.97,3.048
583,20190924,2.369,2.676,2.952,2.751,2.729,2.813,2.969,3.048
582,20190925,2.046,2.572,2.953,2.75,2.729,2.815,2.966,3.047
581,20190926,1.637,2.577,2.967,2.749,2.732,2.815,2.965,3.048
580,20190927,1.313,2.59,2.95,2.75,2.726,2.816,2.964,3.048
579,20190930,2.635,2.843,3.018,2.762,2.728,2.819,2.964,3.048
578,20191008,2.627,2.688,2.724,2.754,2.724,2.817,2.96,3.048
577,20191009,2.202,2.627,2.601,2.728,2.72,2.813,2.957,3.047
576,20191010,2.016,2.595,2.512,2.7085,2.718,2.814,2.955,3.049
575,20191011,1.911,2.556,2.502,2.703,2.718,2.813,2.953,3.05
574,20191014,2.555,2.651,2.495,2.699,2.722,2.816,2.951,3.049
573,20191015,2.703,2.684,2.735,2.703,2.731,2.821,2.951,3.049
572,20191016,2.694,2.686,2.714,2.704,2.732,2.822,2.95,3.048
571,20191017,2.585,2.663,2.697,2.709,2.736,2.825,2.95,3.05
570,20191018,2.618,2.691,2.709,2.713,2.746,2.834,2.95,3.051
569,20191021,2.682,2.691,2.797,2.723,2.763,2.841,2.951,3.054
568,20191022,2.799,2.789,2.84,2.75,2.793,2.851,2.955,3.057
567,20191023,2.654,2.693,2.892,2.761,2.808,2.86,2.962,3.061
566,20191024,2.446,2.661,2.895,2.769,2.824,2.865,2.965,3.061
565,20191025,2.506,2.669,2.851,2.774,2.831,2.873,2.972,3.063
564,20191028,2.478,2.671,2.838,2.773,2.84,2.875,2.971,3.063
563,20191029,2.368,2.67,2.811,2.773,2.847,2.881,2.974,3.067
562,20191030,2.303,2.683,2.778,2.771,2.864,2.893,2.979,3.074
561,20191031,2.59,2.685,2.763,2.775,2.887,2.903,2.983,3.076
560,20191101,2.301,2.616,2.628,2.775,2.897,2.91,2.987,3.079
559,20191104,2.075,2.529,2.532,2.77,2.919,2.929,2.995,3.084
558,20191105,1.88,2.498,2.456,2.759,2.933,2.938,3.0,3.086
557,20191106,1.788,2.546,2.419,2.756,2.948,2.955,3.005,3.088
556,20191107,1.915,2.595,2.418,2.758,2.953,2.97,3.008,3.09
555,20191108,1.902,2.57,2.433,2.759,2.953,2.984,3.012,3.093
554,20191111,2.033,2.555,2.449,2.759,2.955,2.989,3.016,3.094
553,20191112,2.376,2.649,2.562,2.762,2.965,2.996,3.024,3.099
552,20191113,2.598,2.675,2.673,2.766,2.981,3.012,3.035,3.101
551,20191114,2.666,2.682,2.696,2.776,3.0,3.032,3.051,3.108
550,20191115,2.693,2.737,2.742,2.788,3.02,3.051,3.068,3.116
549,20191118,2.707,2.728,2.826,2.794,3.032,3.055,3.073,3.119
548,20191119,2.343,2.611,2.75,2.791,3.033,3.053,3.071,3.119
547,20191120,1.899,2.497,2.57,2.795,3.032,3.051,3.071,3.125
546,20191121,1.849,2.426,2.489,2.7945,3.034,3.05,3.07,3.127
545,20191122,1.948,2.536,2.5,2.7925,3.037,3.05,3.067,3.121
544,20191125,2.234,2.596,2.639,2.7875,3.029,3.05,3.066,3.119
543,20191126,2.323,2.598,2.6,2.7835,3.02,3.047,3.067,3.118
542,20191127,2.233,2.589,2.599,2.7815,3.019,3.05,3.067,3.119
541,20191128,2.078,2.597,2.594,2.7795,3.016,3.05,3.069,3.119
540,20191129,2.356,2.607,2.54,2.783,3.017,3.05,3.07,3.122
539,20191202,2.233,2.478,2.451,2.779,3.017,3.05,3.071,3.122
538,20191203,2.132,2.343,2.361,2.785,3.015,3.05,3.071,3.122
537,20191204,1.971,2.426,2.35,2.799,3.019,3.05,3.072,3.121
536,20191205,1.906,2.433,2.317,2.811,3.022,3.05,3.073,3.121
535,20191206,2.073,2.482,2.476,2.83,3.0245,3.05,3.072,3.121
534,20191209,2.345,2.506,2.429,2.841,3.025,3.05,3.074,3.123
533,20191210,2.198,2.45,2.435,2.858,3.028,3.05,3.075,3.122
532,20191211,2.081,2.493,2.408,2.871,3.03,3.05,3.076,3.123
531,20191212,2.053,2.431,2.369,2.891,3.0305,3.05,3.079,3.122
530,20191213,2.133,2.474,2.443,2.913,3.0325,3.051,3.081,3.122
529,20191216,2.437,2.5315,2.439,2.9304,3.0324,3.0534,3.0824,3.122
528,20191217,2.506,2.588,2.43,2.942,3.036,3.056,3.084,3.123
527,20191218,2.485,2.585,2.537,2.959,3.04,3.059,3.087,3.124
526,20191219,2.0575,2.559,2.911,2.976,3.043,3.06,3.091,3.124
525,20191220,1.814,2.529,2.952,2.997,3.041,3.059,3.088,3.122
524,20191223,1.557,2.453,2.908,2.998,3.04,3.057,3.085,3.12
523,20191224,1.114,2.45,2.976,2.996,3.0335,3.0555,3.0845,3.1145
522,20191225,0.943,2.549,2.975,2.9985,3.0325,3.054,3.0815,3.114
521,20191226,0.848,2.607,2.9,2.9955,3.0295,3.049,3.0785,3.111
520,20191227,1.075,2.579,2.897,2.991,3.0255,3.048,3.077,3.105
519,20191230,1.2,2.618,2.825,2.9755,3.021,3.046,3.073,3.1015
518,20191231,1.694,2.737,2.905,2.9785,3.02,3.046,3.073,3.1005
517,20200102,1.4436,2.433,2.334,2.8975,2.994,3.019,3.052,3.086
516,20200103,1.162,2.349,2.19,2.842,2.96,2.995,3.028,3.071
515,20200106,1.003,2.219,2.091,2.747,2.92,2.96,3.005,3.05
514,20200107,1.215,2.259,2.176,2.7,2.899,2.943,2.992,3.04
513,20200108,1.553,2.32,2.16,2.638,2.881,2.93,2.983,3.032
512,20200109,1.69,2.47,2.147,2.609,2.867,2.921,2.974,3.021
511,20200110,1.7722,2.487,2.29,2.619,2.864,2.92,2.972,3.015
510,20200113,2.059,2.522,2.51,2.619,2.858,2.915,2.966,3.014
509,20200114,2.518,2.654,2.735,2.706,2.862,2.915,2.969,3.013
508,20200115,2.654,2.717,3.013,2.799,2.865,2.918,2.97,3.012
507,20200116,2.609,2.663,2.969,2.8,2.868,2.918,2.965,3.007
506,20200117,2.522,2.64,2.943,2.808,2.868,2.918,2.965,3.005
505,20200119,2.413,2.608,2.856,2.804,2.863,2.917,2.957,2.997
504,20200120,2.248,2.607,2.877,2.813,2.86,2.914,2.954,2.997
503,20200121,1.885,2.601,2.837,2.816,2.859,2.91,2.953,2.995
502,20200122,1.534,2.607,2.814,2.82,2.858,2.912,2.95,2.995
501,20200123,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
500,20200203,2.504,2.607,2.62,2.806,2.852,2.903,2.94,2.98
499,20200204,2.273,2.416,2.585,2.76,2.824,2.877,2.91,2.959
498,20200205,2.051,2.343,2.435,2.696,2.799,2.853,2.894,2.936
497,20200206,1.819,2.366,2.345,2.651,2.776,2.833,2.875,2.913
496,20200207,1.793,2.306,2.292,2.628,2.753,2.81,2.843,2.897
495,20200210,1.652,2.289,2.23,2.577,2.723,2.787,2.823,2.877
494,20200211,1.56,2.225,2.141,2.527,2.679,2.758,2.801,2.856
493,20200212,1.521,2.286,2.11,2.495,2.639,2.723,2.783,2.845
492,20200213,1.443,2.324,2.126,2.454,2.605,2.691,2.763,2.834
491,20200214,1.256,2.233,2.103,2.416,2.565,2.664,2.744,2.817
490,20200217,1.425,2.261,2.129,2.4,2.545,2.651,2.727,2.807
489,20200218,1.503,2.293,2.117,2.387,2.525,2.633,2.71,2.786
488,20200219,1.626,2.268,2.134,2.371,2.51,2.618,2.704,2.773
487,20200220,1.403,2.308,2.115,2.359,2.5,2.61,2.697,2.767
486,20200221,1.355,2.245,2.111,2.343,2.489,2.605,2.692,2.76
485,20200224,1.533,2.176,2.103,2.33,2.476,2.601,2.688,2.755
484,20200225,1.602,2.203,2.084,2.318,2.459,2.59,2.673,2.752
483,20200226,1.499,2.183,2.073,2.306,2.442,2.577,2.66,2.744
482,20200227,1.347,2.192,2.086,2.301,2.433,2.564,2.648,2.74
481,20200228,1.628,2.374,2.092,2.301,2.429,2.56,2.642,2.735
480,20200302,1.714,2.129,2.051,2.27,2.408,2.548,2.635,2.722
479,20200303,1.622,2.094,1.99,2.229,2.375,2.528,2.614,2.706
478,20200304,1.462,2.052,1.964,2.174,2.332,2.499,2.581,2.679
477,20200305,1.45,2.089,1.949,2.15,2.29,2.467,2.553,2.651
476,20200306,1.362,2.035,1.912,2.126,2.258,2.427,2.516,2.616
475,20200309,1.588,2.074,1.905,2.115,2.238,2.407,2.494,2.591
474,20200310,2.014,2.241,1.979,2.132,2.225,2.391,2.481,2.586
473,20200311,2.118,2.3,2.039,2.145,2.224,2.379,2.47,2.557
472,20200312,1.664,2.309,2.035,2.13,2.223,2.365,2.45,2.534
471,20200313,1.414,2.252,1.993,2.119,2.202,2.359,2.438,2.513
470,20200316,1.231,2.199,1.969,2.093,2.175,2.33,2.418,2.491
469,20200317,1.083,1.896,1.85,2.063,2.145,2.295,2.4,2.482
468,20200318,0.963,1.751,1.774,2.032,2.12,2.263,2.387,2.464
467,20200319,0.846,1.893,1.732,2.008,2.104,2.242,2.362,2.451
466,20200320,0.795,1.945,1.774,1.993,2.087,2.218,2.342,2.438
465,20200323,0.845,1.805,1.732,1.962,2.072,2.191,2.312,2.41
464,20200324,0.814,1.693,1.668,1.938,2.056,2.17,2.293,2.392
463,20200325,0.847,1.745,1.66,1.897,2.01,2.131,2.245,2.355
462,20200326,0.845,1.72,1.666,1.869,1.977,2.091,2.216,2.324
461,20200327,1.104,1.769,1.69,1.857,1.966,2.072,2.198,2.305
460,20200330,1.374,2.163,1.786,1.835,1.948,2.051,2.159,2.274
459,20200331,1.614,2.147,1.854,1.827,1.933,2.033,2.14,2.25
458,20200401,1.403,2.004,1.736,1.809,1.918,2.015,2.123,2.226
457,20200402,1.278,1.857,1.621,1.772,1.889,1.982,2.098,2.202
456,20200403,1.001,1.831,1.537,1.741,1.844,1.956,2.075,2.165
455,20200407,0.806,1.773,1.382,1.659,1.73,1.859,1.993,2.07
454,20200408,0.893,1.739,1.333,1.553,1.647,1.759,1.87,1.951
453,20200409,1.182,1.68,1.283,1.473,1.558,1.665,1.769,1.855
452,20200410,1.349,1.813,1.325,1.4,1.507,1.606,1.702,1.794
451,20200413,1.378,1.851,1.361,1.365,1.485,1.579,1.668,1.758
450,20200414,0.994,1.707,1.387,1.353,1.46,1.556,1.644,1.733
449,20200415,0.801,1.632,1.35,1.341,1.447,1.539,1.631,1.712
448,20200416,0.702,1.657,1.318,1.324,1.428,1.516,1.603,1.694
447,20200417,0.716,1.737,1.307,1.308,1.403,1.499,1.594,1.683
446,20200420,0.896,1.734,1.313,1.301,1.394,1.482,1.578,1.674
445,20200421,0.901,1.606,1.307,1.302,1.396,1.48,1.572,1.674
444,20200422,0.901,1.576,1.296,1.3,1.391,1.484,1.578,1.676
443,20200423,0.893,1.663,1.319,1.301,1.396,1.486,1.58,1.683
442,20200424,0.912,1.718,1.317,1.302,1.396,1.486,1.582,1.683
441,20200427,0.874,1.774,1.31,1.307,1.397,1.487,1.58,1.682
440,20200428,0.874,1.62,1.305,1.304,1.398,1.489,1.583,1.681
439,20200429,0.661,1.755,1.344,1.304,1.399,1.49,1.585,1.681
438,20200430,1.888,1.919,1.511,1.314,1.4,1.493,1.588,1.683
437,20200506,1.483,1.865,1.364,1.311,1.4,1.492,1.589,1.684
436,20200507,1.143,1.838,1.321,1.304,1.4,1.491,1.589,1.683
435,20200508,0.938,1.809,1.296,1.3,1.4,1.491,1.589,1.683
434,20200509,0.85,1.481,1.279,1.3,1.399,1.493,1.592,1.686
433,20200511,0.876,1.679,1.278,1.3,1.398,1.493,1.594,1.69
432,20200512,0.803,1.568,1.269,1.3,1.398,1.493,1.595,1.695
431,20200513,0.705,1.485,1.253,1.3,1.398,1.493,1.597,1.696
430,20200514,0.743,1.514,1.256,1.3,1.399,1.493,1.598,1.698
429,20200515,0.864,1.657,1.259,1.3,1.399,1.493,1.599,1.7
428,20200518,0.905,1.563,1.265,1.3,1.398,1.492,1.598,1.699
427,20200519,1.385,1.521,1.274,1.3,1.399,1.492,1.598,1.698
426,20200520,1.22,1.534,1.321,1.301,1.399,1.492,1.599,1.699
425,20200521,1.104,1.556,1.314,1.303,1.4,1.493,1.6,1.701
424,20200522,1.094,1.595,1.313,1.307,1.4,1.493,1.6,1.704
423,20200525,1.473,1.785,1.34,1.316,1.4,1.497,1.6,1.71
422,20200526,1.88,1.908,1.491,1.342,1.405,1.503,1.611,1.723
421,20200527,2.104,2.018,1.75,1.39,1.415,1.518,1.626,1.739
420,20200528,2.102,2.179,1.847,1.412,1.43,1.525,1.64,1.748
419,20200529,2.097,2.151,1.925,1.43,1.453,1.552,1.667,1.774
418,20200601,1.629,1.959,1.724,1.424,1.456,1.566,1.678,1.788
417,20200602,1.468,1.673,1.44,1.422,1.462,1.575,1.69,1.801
416,20200603,1.885,1.971,1.579,1.455,1.494,1.596,1.723,1.826
415,20200604,1.963,2.001,1.604,1.513,1.536,1.619,1.745,1.851
414,20200605,1.582,1.987,1.705,1.582,1.594,1.668,1.773,1.903
413,20200608,1.89,1.942,1.69,1.647,1.658,1.737,1.83,1.957
412,20200609,1.833,1.947,1.758,1.741,1.727,1.788,1.884,2.007
411,20200610,1.849,1.98,1.8,1.791,1.816,1.861,1.947,2.053
410,20200611,1.757,2.021,1.848,1.86,1.904,1.953,2.051,2.138
409,20200612,1.529,2.016,1.859,1.899,1.956,2.004,2.106,2.189
408,20200615,1.477,1.855,1.79,1.916,1.987,2.03,2.141,2.207
407,20200616,1.751,1.891,1.757,1.95,2.019,2.062,2.166,2.23
406,20200617,2.048,2.057,1.832,1.993,2.056,2.095,2.207,2.266
405,20200618,2.123,2.1,2.096,2.023,2.078,2.115,2.223,2.285
404,20200619,2.131,2.147,2.156,2.048,2.095,2.132,2.249,2.3
403,20200622,2.133,2.15,2.205,2.057,2.097,2.142,2.253,2.308
402,20200623,1.971,2.15,2.419,2.08,2.109,2.152,2.265,2.325
401,20200624,1.54,2.173,2.284,2.098,2.121,2.16,2.28,2.344
400,20200629,1.012,2.181,2.156,2.096,2.127,2.166,2.29,2.35
399,20200630,1.785,2.228,2.282,2.083,2.126,2.168,2.296,2.358
398,20200701,1.967,2.095,1.984,2.071,2.122,2.178,2.299,2.361
